epoch,bestFitness,averageFitness,minFitness
0,0.775,0.5582499999999999,0.425
1,0.775,0.611000000000001,0.55
2,0.775,0.6482499999999999,0.6
3,0.775,0.6764999999999992,0.625
4,0.775,0.7029999999999995,0.675
5,0.775,0.7240000000000015,0.7
6,0.775,0.7387499999999999,0.725
7,0.775,0.7469999999999994,0.725
8,0.775,0.7557499999999996,0.725
9,0.775,0.7602499999999998,0.75
10,0.775,0.7662499999999994,0.75
11,0.8,0.7739999999999998,0.75
12,0.8,0.7757500000000002,0.775
13,0.8,0.7762500000000001,0.775
14,0.8,0.7775000000000002,0.775
15,0.825,0.7807500000000003,0.775
16,0.825,0.7837500000000006,0.775
17,0.825,0.7877500000000006,0.775
18,0.825,0.7942500000000002,0.775
19,0.825,0.8034999999999985,0.8
20,0.825,0.8077499999999982,0.8
21,0.825,0.813499999999999,0.8
22,0.85,0.8252500000000015,0.825
23,0.85,0.8260000000000015,0.825
24,0.85,0.8275000000000016,0.825
25,0.875,0.8307500000000015,0.825
26,0.875,0.8352500000000019,0.825
27,0.875,0.8442500000000014,0.825
28,0.875,0.8554999999999993,0.85
29,0.875,0.8662499999999986,0.85
30,0.875,0.875,0.875
31,0.9,0.87575,0.875
32,0.9,0.87625,0.875
33,0.9,0.8785,0.875
34,0.9,0.8824999999999998,0.875
35,0.925,0.8899999999999995,0.875
36,0.925,0.901250000000001,0.9
37,0.925,0.904000000000001,0.9
38,0.925,0.9100000000000013,0.9
39,0.925,0.9219999999999993,0.9
40,0.925,0.9249999999999983,0.925
41,0.925,0.9249999999999983,0.925
42,0.925,0.9249999999999983,0.925
43,0.925,0.9249999999999983,0.925
44,0.925,0.9249999999999983,0.925
45,0.925,0.9249999999999983,0.925
46,0.925,0.9249999999999983,0.925
47,0.925,0.9249999999999983,0.925
48,0.925,0.9249999999999983,0.925
49,0.95,0.9252499999999984,0.925
