index,genome,fitness
0,01111100100010101000101000101101011111000111000110,0.94
1,01111100100010101000101000101101011111000111000110,0.94
2,01111100100010101000101000101101011111001111000010,0.94
3,01111100100010101000101000101101011111001101000110,0.94
4,01111100100010101000101000101101011111000111000110,0.94
5,01111100100010101000101000101101011111001111000010,0.94
6,01111100100010101000101000101101011111001101000110,0.94
7,01110100100010101000101000101101011111000111000010,0.94
8,01111100100010101000101000101101011111000111000110,0.94
9,01111100100010101000101000101101011111001111000010,0.94
10,01111100100010101000101000101101011111000111000110,0.94
11,01111100100010101000101000101101011111001101000110,0.94
12,01111100100010101000101000101101011111001101000110,0.94
13,01111100100010101000101000101101011111001111000010,0.94
14,01111100100010101000101000101101011111001111000010,0.94
15,01111100100010101000101000101101011111001111000010,0.94
16,01111100100010101000101000101101011111000111000110,0.94
17,01111100100010101000101000101101011111001111000010,0.94
18,01111100100010101000101000101101011111001111000010,0.94
19,01111100100010101000101000101101011111001101000110,0.94
20,01111100100010101000101000101101011111001111000010,0.94
21,01111100100010101000101000101101011111000111000110,0.94
22,01111100100010101000101000101101011111001101000110,0.94
23,01111100100010101000101000101101011111001101000110,0.94
24,01111100100010101000101000101101011111001111000010,0.94
25,01111100100010101000101000101101011111001111000010,0.94
26,01111100100010101000101000101101011111001111000010,0.94
27,01111100100010101000101000101101011111000111000110,0.94
28,01111100100010101000101000101101011111001111000010,0.94
29,01111100100010101000101000101101011111000111000110,0.94
30,01111100100010101000101000101101011111001111000010,0.94
31,01111100100010101000101000101101011111001111000010,0.94
32,01111100100010101000101000101101011111001101000110,0.94
33,01111100100010101000101000101101011111001101000110,0.94
34,01111100100010101000101000101101011111000111000110,0.94
35,01111100100010101000101000101101011111001101000110,0.94
36,01111100100010101000101000101101011111001111000010,0.94
37,01111100100010101000101000101101011111001111000010,0.94
38,01111100100010101000101000101101011111001111000010,0.94
39,01111100100010101000101000101101011111001101000110,0.94
40,01111100100010101000101000101101011111001111000010,0.94
41,01111100100010101000101000101101011111001111000010,0.94
42,01111100100010101000101000101101011111001111000010,0.94
43,01111100100010101000101000101101011111001101000110,0.94
44,01111100100010101000101000101101011111000111000110,0.94
45,01110100100010101000101000101101011111001101000110,0.92
46,01110100100010101000101000101101011111001111000010,0.92
47,01110100100010101000101000101101011111001111000010,0.92
48,01110100100010101000101000101101011111001111000010,0.92
49,01110100100010101000101000101101011111001111000010,0.92
50,01110100100010101000101000101101011111001111000010,0.92
51,01110100100010101000101000101101011111000111000110,0.92
52,01110100100010101000101000101101011111001111000010,0.92
53,01110100100010101000101000101101011111001111000010,0.92
54,01110100100010101000101000101101011111000111000110,0.92
55,01110100100010101000101000101101011111001111000010,0.92
56,01110100100010101000101000101101011111001111000010,0.92
57,01110100100010101000101000101101011111000111000110,0.92
58,01110100100010101000101000101101011111001101000110,0.92
59,01110100100010101000101000101101011111001111000010,0.92
60,01110100100010101000101000101101011111001111000010,0.92
61,01110100100010101000101000101101011111001111000010,0.92
62,01110100100010101000101000101101011111001111000010,0.92
63,01110100100010101000101000101101011111001101000110,0.92
64,01110100100010101000101000101101011111001111000010,0.92
65,01110100100010101000101000101101011111001101000110,0.92
66,01110100100010101000101000101101011111001101000110,0.92
67,01110100100010101000101000101101011111001111000010,0.92
68,01110100100010101000101000101101011111000111000110,0.92
69,01110100100010101000101000101101011111001111000010,0.92
70,01110100100010101000101000101101011111001111000010,0.92
71,01110100100010101000101000101101011111001111000010,0.92
72,01110100100010101000101000101101011111001101000110,0.92
73,01110100100010101000101000101101011111001101000110,0.92
74,01110100100010101000101000101101011111001101000110,0.92
75,01110100100010101000101000101101011111001111000010,0.92
76,01110100100010101000101000101101011111001111000010,0.92
77,01110100100010101000101000101101011111001101000110,0.92
78,01110100100010101000101000101101011111001111000010,0.92
79,01110100100010101000101000101101011111000111000110,0.92
80,01110100100010101000101000101101011111000111000110,0.92
81,01110100100010101000101000101101011111000111000110,0.92
82,01110100100010101000101000101101011111000111000110,0.92
83,01110100100010101000101000101101011111001111000010,0.92
84,01110100100010101000101000101101011111001111000010,0.92
85,01110100100010101000101000101101011111001111000010,0.92
86,01110100100010101000101000101101011111001111000010,0.92
87,01110100100010101000101000101101011111001101000110,0.92
88,01110100100010101000101000101101011111000111000110,0.92
89,01110100100010101000101000101101011111000111000110,0.92
90,01110100100010101000101000101101011111000111000110,0.92
91,01110100100010101000101000101101011111001111000010,0.92
92,01110100100010101000101000101101011111000111000110,0.92
93,01110100100010101000101000101101011111001101000110,0.92
94,01110100100010101000101000101101011111001101000110,0.92
95,01110100100010101000101000101101011111001111000010,0.92
96,01110100100010101000101000101101011111001111000010,0.92
97,01110100100010101000101000101101011111001101000110,0.92
98,01110100100010101000101000101101011111000111000110,0.92
99,01110100100010101000101000101101011111001101000110,0.92
