index,genome,fitness
0,11110100100011101000100000001101011111000010011010,0.78
1,11100100100011101000100000001101011111000010011010,0.76
2,11100100100011101000100000001101011111000010011010,0.76
3,11100100100011101000100000001101011111000010011010,0.76
4,11100100100011101000100000001101011111000010011010,0.76
5,11100100100011101000100000101101011100001111001110,0.76
6,11100100100011101000100000001101011111000010011010,0.76
7,11100100100011101000100000001101011111000010011010,0.76
8,11100100100011101000100000001101011111000010011010,0.76
9,11100100100011101000100000001101011111000010011010,0.76
10,11100100100011101000100000001101011111000010011010,0.76
11,11100100100011101000100000001101011111000010011010,0.76
12,11100100100011101000100000001101011111000010011010,0.76
13,11100100100011101000100000101101011100001111001110,0.76
14,11100100100011101000100000001101011111000010011010,0.76
15,11100100100011101000100000101101011100001111001110,0.76
16,11100100100011101000100000001101011111000010011010,0.76
17,11100100100011101000100000001101011111000010011010,0.76
18,11100100100011101000100000001101011111000010011010,0.76
19,11100100100011101000100000001101011111000010011010,0.76
20,11100100100011101000100000101101011100001111001110,0.76
21,11100100100011101000100000001101011111000010011010,0.76
22,11100100100011101000100000111101011010000110110010,0.74
23,10111110101111001000101100101101011100001111001110,0.74
24,10111110101111001000101100001101011111000010011010,0.74
25,00000110011001101010100001010101100000101100011101,0.74
26,10111110101111001000101100001101011111000010011010,0.74
27,11100100100011101000100000111101011010000110110010,0.74
28,10011001101010101000001100001101011111000010011010,0.74
29,00000110011001101010100001010101100000101100011101,0.74
30,10111110101111001000101100001101011111000010011010,0.74
31,11100100100011101000100010001101011111000010011010,0.74
32,10111110101111001000101100001101011111000010011010,0.74
33,10111110101111001000101100001101011111000010011010,0.74
34,10111110101111001000101100101101011100001111001110,0.74
35,10111110101111001000101100001101011111000010011010,0.74
36,10111110101111001000101100101101011100001111001110,0.74
37,10011001101010101000001100101101011100001111001110,0.74
38,10011001101010101000001100001101011111000010011010,0.74
39,10111110101111001000101100101101011100001111001110,0.74
40,10111110101111001000101100101101011100001111001110,0.74
41,11100100100011101000100000111101011010000110110010,0.74
42,10011001101010101000001100101101011100001111001110,0.74
43,10111110101111001000101100001101011111000010011010,0.74
44,10111110101111001000101100001101011111000010011010,0.74
45,10011001101010101000001100001101011111000010011010,0.74
46,00000110011001101010100001010101100000101100011101,0.74
47,11100100100011101000100000111101011010000110110010,0.74
48,10011001101010101000001100001101011111000010011010,0.74
49,11100100000011101000100000001101011111000010011010,0.74
50,10111110101111001000101100001101011111000010011010,0.74
51,10111110101111001000101100001101011111000010011010,0.74
52,00110111101001010000100101010110101000111010101000,0.72
53,00000110011001101010100001100001110010010100101001,0.72
54,00111101001010111011100010001101011111000010011010,0.72
55,00111101010100111010111000101101011100001111001110,0.72
56,00111101001010111011100010001101011111000010011010,0.72
57,00111101010100111010111001010101100000101100011101,0.72
58,00111101001010111011100010001101011111000010011010,0.72
59,00111101001010111011100010101101011100001111001110,0.72
60,00111101010100111010111001010101100000101100011101,0.72
61,00111101001010111011100010101101011100001111001110,0.72
62,00111101010100111010111000101101011100001111001110,0.72
63,11100100100011101000100000001000111110010011000010,0.72
64,00111101001010111011100010001101011111000010011010,0.72
65,10101100001111001000101010001101011111000010011010,0.72
66,11100100100011101000100000001000111110010011000010,0.72
67,00111101001010111011100010001101011111000010011010,0.72
68,11100100100011101000100001101111111111111111000000,0.72
69,00111101010100111010111000001101011111000010011010,0.72
70,11100100100011101000100000001000111110010011000010,0.72
71,00111101010100111010111000101101011100001111001110,0.72
72,11100100100011101000100000001000111110010011000010,0.72
73,00111101001010111011100010001101011111000010011010,0.72
74,00111101001010111011100010101101011100001111001110,0.72
75,00111101010100111010111000001101011111000010011010,0.72
76,11100100100011101000100000001000111110010011000010,0.72
77,11100100100011101000100000001000111110010011000010,0.72
78,11100100100011101000100001101101100011001100100110,0.7
79,10101100001111001000101010100101011100101001000011,0.7
80,10111111000100001010001000001101011111000010011010,0.7
81,10111110101111001000101100001000111110010011000010,0.7
82,00111101001010111011100011110000001001101000101010,0.7
83,10111110101111001000101100001000111110010011000010,0.7
84,00110000001010000000000100001101011111000010011010,0.7
85,10011001101010101000001100001000111110010011000010,0.7
86,00110000001010000000000100001101011111000010011010,0.7
87,10111110101111001000101100001000111110010011000010,0.7
88,01010100011000101000001100101101011100001111001110,0.7
89,00111101010100111010111001100001110010010100101001,0.7
90,10011001101010101000001100001000111100100101010010,0.7
91,10011001101010101000001100001000111110010011000010,0.7
92,10011001101010101000001100001000111110010011000010,0.7
93,00110000001010000000000100101101011100001111001110,0.7
94,01100000001100111001100001010101100000101100011101,0.7
95,00110000001010000000000100101101011100001111001110,0.7
96,00110000001010000000000100101101011100001111001110,0.7
97,00100111111010110011011001010110101000111010101000,0.7
98,10111111000100001010001000001101011111000010011010,0.7
99,00111101001010111011100010111101011010000110110010,0.7
