index,genome,fitness
0,11100100100011101000100000001101011111000010011010,0.76
1,11100100100011101000100000001101011111000010011010,0.76
2,11100100100011101000100000001101011111000010011010,0.76
3,11100100100011101000100000001101011111000010011010,0.76
4,11100100100011101000100000101101011100001111001110,0.76
5,11100100100011101000100000001101011111000010011010,0.76
6,11100100100011101000100000001101011111000010011010,0.76
7,11100100100011101000100000001101011111000010011010,0.76
8,11100100100011101000100000001101011111000010011010,0.76
9,11100100100011101000100000111101011010000110110010,0.74
10,10111110101111001000101100101101011100001111001110,0.74
11,10111110101111001000101100001101011111000010011010,0.74
12,00000110011001101010100001010101100000101100011101,0.74
13,10111110101111001000101100001101011111000010011010,0.74
14,11100100100011101000100000111101011010000110110010,0.74
15,10011001101010101000001100001101011111000010011010,0.74
16,00000110011001101010100001010101100000101100011101,0.74
17,10111110101111001000101100001101011111000010011010,0.74
18,11100100100011101000100010001101011111000010011010,0.74
19,10111110101111001000101100001101011111000010011010,0.74
20,10111110101111001000101100001101011111000010011010,0.74
21,10111110101111001000101100101101011100001111001110,0.74
22,10111110101111001000101100001101011111000010011010,0.74
23,10111110101111001000101100101101011100001111001110,0.74
24,00110111101001010000100101010110101000111010101000,0.72
25,00000110011001101010100001100001110010010100101001,0.72
26,00111101001010111011100010001101011111000010011010,0.72
27,00111101010100111010111000101101011100001111001110,0.72
28,00111101001010111011100010001101011111000010011010,0.72
29,00111101010100111010111001010101100000101100011101,0.72
30,00111101001010111011100010001101011111000010011010,0.72
31,00111101001010111011100010101101011100001111001110,0.72
32,00111101010100111010111001010101100000101100011101,0.72
33,00111101001010111011100010101101011100001111001110,0.72
34,00111101010100111010111000101101011100001111001110,0.72
35,11100100100011101000100000001000111110010011000010,0.72
36,00111101001010111011100010001101011111000010011010,0.72
37,10101100001111001000101010001101011111000010011010,0.72
38,11100100100011101000100000001000111110010011000010,0.72
39,11100100100011101000100001101101100011001100100110,0.7
40,10101100001111001000101010100101011100101001000011,0.7
41,10111111000100001010001000001101011111000010011010,0.7
42,10111110101111001000101100001000111110010011000010,0.7
43,00111101001010111011100011110000001001101000101010,0.7
44,10111110101111001000101100001000111110010011000010,0.7
45,00110000001010000000000100001101011111000010011010,0.7
46,10011001101010101000001100001000111110010011000010,0.7
47,00110000001010000000000100001101011111000010011010,0.7
48,10111110101111001000101100001000111110010011000010,0.7
49,01010100011000101000001100101101011100001111001110,0.7
50,00111101010100111010111001100001110010010100101001,0.7
51,10011001101010101000001100001000111100100101010010,0.7
52,10011001101010101000001100001000111110010011000010,0.7
53,10011001101010101000001100001000111110010011000010,0.7
54,00110000001010000000000100101101011100001111001110,0.7
55,01100000001100111001100001010101100000101100011101,0.7
56,00110000001010000000000100101101011100001111001110,0.7
57,00110000001010000000000100101101011100001111001110,0.7
58,00100111111010110011011001010110101000111010101000,0.7
59,10111111000100001010001000001101011111000010011010,0.7
60,00111101001010111011100010111101011010000110110010,0.7
61,10111111000100001010001000001101011111000010011010,0.7
62,10111111000100001010001000001101011111000010011010,0.7
63,00110000001010000000000100001101011111000010011010,0.7
64,10101100001111001000101010111101011010000110110010,0.7
65,11100100100011101000100000101010011110111001010010,0.7
66,01010100011000101000001100001101011111000010011010,0.7
67,10011001101010101000001100001000111110010011000010,0.7
68,10111111000100001010001000001101011111000010011010,0.7
69,11100100100011101000100001101101100011001100100110,0.7
70,00110000001010000000000100101101011100001111001110,0.7
71,10111111000100001010001000001101011111000010011010,0.7
72,01010100011000101000001100001101011111000010011010,0.7
73,00110000001010000000000100001101011111000010011010,0.7
74,01010100011000101000001100111101011010000110110010,0.68
75,00001111100010001111010001010110101000111010101000,0.68
76,00110111000110010001100000001101011111000010011010,0.68
77,10111111000100001010001001011100110011100101010001,0.68
78,10111111000100001010001001011100110011100101010001,0.68
79,11100100100011101000100001000101000011011001000110,0.68
80,00110000001010000000000100100101011100101001000011,0.68
81,10110110110001001101111000101101011100001111001110,0.68
82,10011001101010101000001100101010011110111001010010,0.68
83,11100100100011101000100000000011111001000001100110,0.68
84,00110000001010000000000100100101011100101001000011,0.68
85,11100100100011101000100000011111010010000000100110,0.68
86,10111111000100001010001001011100110011100101010001,0.68
87,01100000001100111001100001011100110011100101010001,0.68
88,00111101001010111011100011101111111111111111000000,0.68
89,00111101010000111010111001110111100101001100011011,0.68
90,11100100100011101000100001000101000011011001000110,0.68
91,11100100100011101000100010101010011110111001010010,0.68
92,00110111000110010001100001010101100000101100011101,0.68
93,00100111111010110010011001010110101000111010101000,0.68
94,11100100100011101000100001010101100000101100011101,0.68
95,00111011101001111100000000001101011111000010011010,0.68
96,00111101001010111011100010001000111110010011000010,0.68
97,11100100100011101000100001010101100000101100011101,0.68
98,11100100100011101000100001010101100000101100011101,0.68
99,10111111000100001010001001011100110011100101010001,0.68
