index,genome,fitness
0,10110001110100110000010110100010100011010001010101,0.78
1,10110001110100110000010110100010100011010001010101,0.78
2,11010011011000100010010010100010100011010001010101,0.76
3,11010011011000100010010010100010100011010001010101,0.76
4,11010011011000100010010010100010100011010001010101,0.76
5,11010011011000100010010010100010100011010001010101,0.76
6,11010011011000100010010010100010100011010001010101,0.76
7,11010011011000100010010010100010100011010001010101,0.76
8,11010011011000100010010010100010100011010001010101,0.76
9,11010011011000100010010010100010100011010001010101,0.76
10,11010011011000100010010010100010100011010001010101,0.76
11,11010011011000100010010010100010100011010001010101,0.76
12,11010011011000100010010010100010100011010001010101,0.76
13,10110001110100110000010110100010000011010001010101,0.76
14,11010011011000100010010010100010100011010001010101,0.76
15,00001110111000110010000110100100001001111101010101,0.76
16,10101100111100100000100010100100001001111101110101,0.74
17,00001110111000110010000110100100001001111101110101,0.74
18,00001110111000110010000110100100001001111101110101,0.74
19,10101100111100100000100010100100001001111101110101,0.74
20,00001110111000110010000110100100001001111101110101,0.74
21,11111001010000110001000000100010100011010001010101,0.74
22,10111001101111000010101010100011001001000111110000,0.74
23,00001110111000110010000110100100001001111101110101,0.74
24,00001110111000110010000110100100001001111101110101,0.74
25,00001110111000110010000110100100001001111101110101,0.74
26,00001110111000110010000110100100001001111101110101,0.74
27,11010011011000100010010010110010100011010001010101,0.74
28,11111001010000110001000000100010100011010001010101,0.74
29,00001110111000110010000110100100001001111101110101,0.74
30,00001110111000110010000110100100001001111101110101,0.74
31,00001110111000110010000110100100001001111101110101,0.74
32,11011000011100100010011100100010100011010001010101,0.74
33,00001110111000110010000110100100001001111101110101,0.74
34,00001110111000110010000110100100001001111101110101,0.74
35,00001110111000110010000110100100001001111101110101,0.74
36,10100101110101000111010100100010100011010001010101,0.72
37,00001110111000110010000110100010100011010001010101,0.72
38,01010110001100111111000110100100001001111101110101,0.72
39,01010110001100111111000110100100001001111101110101,0.72
40,10100101110101000111010100100010100011010001010101,0.72
41,00001110111000110010000110100100001000111101110101,0.72
42,10111001101111000010101010000101011111000011000000,0.72
43,00001110111000110010000110100100001000111101110101,0.72
44,00011011001110100000000110100100001001111101110101,0.72
45,11011000011100100010011100100100001001111101110101,0.72
46,11011000011100100010011101101101000001011110010000,0.72
47,00011011001110100000000110100100001001111101110101,0.72
48,10100111001100111001100100100010100011010001010101,0.72
49,00001110111000110010000111101101010001011110010000,0.72
50,10111001101111000010101010100011001001000111100000,0.72
51,10100111001100111001100100100010100011010001010101,0.72
52,10111001101111000010101010100011001001000111100000,0.72
53,10111001101111000010101010100011001001000111100000,0.72
54,00001110111000110010000111101101010001011110010000,0.72
55,01010110001100111111000110100100001001111101110101,0.72
56,01010110001100111111000110100100001001111101110101,0.72
57,00011011001110100000000110100100001001111101110101,0.72
58,10100101110101000111010100100010100011010001010101,0.72
59,10111001101111000010101010100011001001000111100000,0.72
60,00011011001110100000000110100100001001111101110101,0.72
61,11011000011100100010011100100100001001111101110101,0.72
62,00001110111000110010000110100010100011010001010101,0.72
63,10100111001100111001100100100010100011010001010101,0.72
64,01010110001100111111000110100100001001111101110101,0.72
65,01110010011111110111000100100010100011010001010101,0.72
66,00001110111000110010000110100100001000111101110101,0.72
67,00001110111000110010000110100100001000111101110101,0.72
68,10001111011111110101011000100011001001000111100000,0.72
69,00001110111000110010000110100010100011010001010101,0.72
70,10111001101111000010101010100011001001000111100000,0.72
71,01010110001100111111000110100100001001111101110101,0.72
72,10100111001100111001100100100010100011010001010101,0.72
73,00001110111000110010000110100010100011010001010101,0.72
74,00001110111000110010000110100100001000111101110101,0.72
75,00001110111000110010000110100010100011010001010101,0.72
76,00001110111000110010000110100010100011010001010101,0.72
77,10111001101111000010101010100011001001000111100000,0.72
78,00001110111000110010000110100010100011010001010101,0.72
79,10100101110101000111010100100010100011010001010101,0.72
80,00001110111000110010000110100010100011010001010101,0.72
81,00001110111000110010000110100010100011010001010101,0.72
82,00001110111000110010000110100010100011010001010101,0.72
83,00001110111000110010000110100100001000111101110101,0.72
84,10101100111100100000100010100010100011010001010101,0.72
85,01010110001100111111000110100100001001111101110101,0.72
86,10101100111100100000100011101101010001011110010000,0.72
87,01010110001100111111000110100100001001111101110101,0.72
88,01010110001100111111000110100100001001111101110101,0.72
89,10100101110101000111010100100010100011010001010101,0.72
90,00001110111000110010000110100100001001101100111000,0.72
91,00001110111000110010000110100100001000111101110101,0.72
92,00001110111000110010000110100100001000111101110101,0.72
93,01010110001100111111000110100100001001111101110101,0.72
94,10101100111100100000100010100010100011010001010101,0.72
95,10101100111100100000100010100010100011010001010101,0.72
96,00011011001110100000000110100100001001111101110101,0.72
97,10101100111100100000100010100100001000111101110101,0.72
98,00011011001110100000000110100100001001111101110101,0.72
99,01010110001100111111000110100010100011010001010101,0.7
