index,genome,fitness
0,10110001110100110000010110100010100011010001010101,0.78
1,11010011011000100010010010100010100011010001010101,0.76
2,11010011011000100010010010100010100011010001010101,0.76
3,11010011011000100010010010100010100011010001010101,0.76
4,10101100111100100000100010100100001001111101110101,0.74
5,00001110111000110010000110100100001001111101110101,0.74
6,00001110111000110010000110100100001001111101110101,0.74
7,10101100111100100000100010100100001001111101110101,0.74
8,00001110111000110010000110100100001001111101110101,0.74
9,11111001010000110001000000100010100011010001010101,0.74
10,10111001101111000010101010100011001001000111110000,0.74
11,00001110111000110010000110100100001001111101110101,0.74
12,00001110111000110010000110100100001001111101110101,0.74
13,10100101110101000111010100100010100011010001010101,0.72
14,00001110111000110010000110100010100011010001010101,0.72
15,01010110001100111111000110100100001001111101110101,0.72
16,01010110001100111111000110100100001001111101110101,0.72
17,10100101110101000111010100100010100011010001010101,0.72
18,00001110111000110010000110100100001000111101110101,0.72
19,10111001101111000010101010000101011111000011000000,0.72
20,00001110111000110010000110100100001000111101110101,0.72
21,00011011001110100000000110100100001001111101110101,0.72
22,11011000011100100010011100100100001001111101110101,0.72
23,11011000011100100010011101101101000001011110010000,0.72
24,00011011001110100000000110100100001001111101110101,0.72
25,10100111001100111001100100100010100011010001010101,0.72
26,00001110111000110010000111101101010001011110010000,0.72
27,10111001101111000010101010100011001001000111100000,0.72
28,10100111001100111001100100100010100011010001010101,0.72
29,10111001101111000010101010100011001001000111100000,0.72
30,10111001101111000010101010100011001001000111100000,0.72
31,00001110111000110010000111101101010001011110010000,0.72
32,01010110001100111111000110100100001001111101110101,0.72
33,01010110001100111111000110100100001001111101110101,0.72
34,00011011001110100000000110100100001001111101110101,0.72
35,10100101110101000111010100100010100011010001010101,0.72
36,01010110001100111111000110100010100011010001010101,0.7
37,10001111011111110101011000111010001011000011110001,0.7
38,10111001101111000010101011010111011011010011110011,0.7
39,00011011001110100000000111101101010001011110010000,0.7
40,10101000000100011101011000100010100011010001010101,0.7
41,11011000011100100010011101101101010001011110010000,0.7
42,10111001101111000010101010100100001001101100111000,0.7
43,10111001101111000010101011000110011100001111100010,0.7
44,01110010011111110111000100110010100011010001010101,0.7
45,10001011011010010010111010100011001001000111100000,0.7
46,10001100011001000101000010100100001001111101110101,0.7
47,00100101100101011011011000100010100011010001010101,0.7
48,10111001101111000010101010010010001011110011000010,0.7
49,01010110001100111111000111101101010001011110010000,0.7
50,00011011001110100000000110100100001001101100111000,0.7
51,00001110111000110010000111101101100101011111010010,0.7
52,11010011011000100010010010100100001001111101110101,0.7
53,11010011011000100010010010100100001001111101110101,0.7
54,10001100011001000101000010100100001001111101110101,0.7
55,10110001110100110000010110000010000111111000111110,0.7
56,10001111011111110101011001010111011011010011110011,0.7
57,01010110001100111111000111101101010001011110010000,0.7
58,10111001101111000010101011010111011011010011110011,0.7
59,01010110001100111111000110100010100011010001010101,0.7
60,10111001101111000010101010010010001011110011010011,0.7
61,10001100011001000101000010100100001001111101110101,0.7
62,10001011011010010010011011010111011011010011110011,0.7
63,10001100011001000101000010100100001001111101110101,0.7
64,10001100011001000101000010100100001001111101110101,0.7
65,10001100011001000101000010100100001001111101110101,0.7
66,10111001101111000010101010100100001001101100111000,0.7
67,10111001101111000010101011010111011011010011110011,0.7
68,10001111011111110101011000100010100011010001010101,0.7
69,10100101110101000111010100100010000011010001010101,0.7
70,10001100011001000101000010100100001001111101110101,0.7
71,10001111011111110101011000101000101110100011100010,0.68
72,11101011110110100111011011000110011100001111100010,0.68
73,10111001101111000010101010101000101110100011100010,0.68
74,10110111101110010011010100000010000111111000111110,0.68
75,10001100011001000101000011101101010001011110010000,0.68
76,10111001101111000010101010000101011010110101100100,0.68
77,10000100110011001001000110100100001001111101110101,0.68
78,11111001010000110001000000100100001001111101110101,0.68
79,10111001101111000010101010010010001011110011000011,0.68
80,11101011110110100111011011010111011011010011110011,0.68
81,10001011011010010010111010100010100011010001010101,0.68
82,10001100011001000101000011101101010001011110010000,0.68
83,11110011000100101010000110100100001001111101110101,0.68
84,10000100110011001001000110100100001001111101110101,0.68
85,10111001101111000010101010100100001001111101110101,0.68
86,10111001101111000010101010100100001001111101110101,0.68
87,10001100011001000101000011010111011011010011110011,0.68
88,10000111011011001110100010010010001011110011010011,0.68
89,10001111011111110101011000100100001001111101110101,0.68
90,00001110111000110010000111101101100101011011010010,0.68
91,10001100011001000101000010100101110010000111111000,0.68
92,10111011111101010011010111010111011011010011110011,0.68
93,10001011011010010010111010100010100011010001010101,0.68
94,11110011000100101010000110100100001001111101110101,0.68
95,10001100011001000101000011101101010001011110010000,0.68
96,10001100011001000101000011010111011011010011110011,0.68
97,11100110101101001011100000100010100011010001010101,0.68
98,10001011011010010010111010100101110010000111111000,0.68
99,10001111011111110101011000100100001001111101110101,0.68
