epoch,bestFitness,averageFitness,minFitness
0,0.725,0.5655000000000001,0.45
1,0.8,0.609750000000001,0.55
2,0.8,0.6392500000000003,0.6
3,0.8,0.6649999999999997,0.625
4,0.8,0.6909999999999993,0.65
5,0.8,0.7065000000000002,0.675
6,0.8,0.7212500000000017,0.7
7,0.8,0.7332500000000011,0.7
8,0.8,0.7422499999999996,0.725
9,0.825,0.7519999999999992,0.725
10,0.825,0.758,0.75
11,0.825,0.7602499999999998,0.75
12,0.825,0.7642499999999997,0.75
13,0.825,0.7682499999999994,0.75
14,0.825,0.7752499999999992,0.75
15,0.825,0.7830000000000006,0.775
16,0.825,0.7880000000000006,0.775
17,0.825,0.7967499999999998,0.775
18,0.825,0.8017499999999985,0.8
19,0.825,0.8044999999999984,0.8
20,0.85,0.8089999999999982,0.8
21,0.85,0.8174999999999997,0.8
22,0.85,0.8267500000000015,0.825
23,0.85,0.8297500000000015,0.825
24,0.875,0.8355000000000019,0.825
25,0.875,0.8467500000000008,0.825
26,0.875,0.8547499999999993,0.85
27,0.875,0.8622499999999989,0.85
28,0.9,0.8744999999999998,0.85
29,0.9,0.8759999999999999,0.875
30,0.9,0.87725,0.875
31,0.925,0.879,0.875
32,0.925,0.8844999999999998,0.875
33,0.925,0.8917499999999994,0.875
34,0.925,0.903250000000001,0.9
35,0.925,0.9115000000000012,0.9
36,0.95,0.923249999999999,0.9
