index,genome,fitness
0,01101101101111000010010010111110011010110010001010,0.88
1,01101101101111000010010010111110011010110010001010,0.88
2,01101101101111000010010010111110011010110010001010,0.88
3,01101101101111000010010010111110011010110010001010,0.88
4,01101101101111000010010010111110011010110010001010,0.88
5,01101101101111000010010010111110011010110010001010,0.88
6,01101101101111000010010010111110011010110010001010,0.88
7,01101101101111000010010010111110011010110010001010,0.88
8,11101100101101100010010010111110011010110010001010,0.88
9,01101101101111000010010010111110011010110010001010,0.88
10,01101101101111000010010010111110011010110010001010,0.88
11,01101101101111000010010010111110011010110010001010,0.88
12,01101101101111000010010010111110011010110010001010,0.88
13,01101101101111000010010010111110011010110010001010,0.88
14,01101101101111000010010010111110011010110010001010,0.88
15,01101101101111000010010010111110011010110010001010,0.88
16,01101101101111000010010010111110011010110010001010,0.88
17,01101101101111000010010010111110011010110010001010,0.88
18,01101101101111000010010010111110011010110010001010,0.88
19,01101101101111000010010010111110011010110010001010,0.88
20,01101101101111000010010010111110011010110010001010,0.88
21,01101101101111000010010010111110011010110010001010,0.88
22,01101101101111000010010010111110011010110010001010,0.88
23,01101101101111000010010010111110011010110010001010,0.88
24,01101101101111000010010010111110011010110010001010,0.88
25,01101100101111100010010010111110011010110010001010,0.88
26,01101101101111000010010010111110011010110010001010,0.88
27,01101101101111000010010010111110011010110010001010,0.88
28,01101101101111000010010010111100011010110010001010,0.86
29,01101101101111000010010010111100001011110010001010,0.86
30,11101100101101000010010010111110011010110010001010,0.86
31,01101100101111000010010010111110011010110010001010,0.86
32,01101100101111000010010010111110011010110010001010,0.86
33,01101101101111000010010010111100011010110010001010,0.86
34,01101100101111000010010010111110011010110010001010,0.86
35,01101100101111000010010010111110011010110010001010,0.86
36,01101100101111000010010010111110011010110010001010,0.86
37,01101100001101000010010010111110011010110010001010,0.86
38,01101100101111000010010010111110011010110010001010,0.86
39,01101100101111000010010010111110011010110010001010,0.86
40,01101100101111000010010010111110011010110010001010,0.86
41,01101101101111000010010010111100001011110010001010,0.86
42,01101100101111000010010010111110011010110010001010,0.86
43,01101100101111000010010010111110011010110010001010,0.86
44,01101100101111000010010010111110011010110010001010,0.86
45,01101100101111000010010010111110011010110010001010,0.86
46,11101100101101000010010010111110011010110010001010,0.86
47,01101100101111000010010010111110011010110010001010,0.86
48,01101100101111000010010010111110011010110010001010,0.86
49,11101100101101000010010010111110011010110010001010,0.86
50,01101100101111000010010010111110011010110010001010,0.86
51,01101101101111000010010010111100011010110010001010,0.86
52,01101100101111000010010010111110011010110010001010,0.86
53,01101100101111000010010010111110011010110010001010,0.86
54,01101101101111000010010010111100011010110010001010,0.86
55,01101100101111000010010010111110011010110010001010,0.86
56,11101100101101000010010010111110011010110010001010,0.86
57,01101100101111000010010010111110011010110010001010,0.86
58,01101100101111000010010010111110011010110010001010,0.86
59,01101100101111000010010010111110011010110010001010,0.86
60,01101100101111000010010010111110011010110010001010,0.86
61,01101100101111000010010010111110011010110010001010,0.86
62,01101100101111000010010010111110011010110010001010,0.86
63,01101100101111000010010010111110011010110010001010,0.86
64,01101100101111000010010010111110011010110010001010,0.86
65,01101100101111000010010010111110011010110010001010,0.86
66,01101100101111000010010010111110011010110010001010,0.86
67,01101100101111000010010010111110011010110010001010,0.86
68,01101100101111000010010010111110011010110010001010,0.86
69,01101100101111000010010010111110011010110010001010,0.86
70,01101100101111000010010010111110011010110010001010,0.86
71,01101100101111000010010010111110011010110010001010,0.86
72,01101100101111000010010010111110011010110010001010,0.86
73,01101100101111000010010010111110011010110010001010,0.86
74,01101100101111000010010010111110011010110010001010,0.86
75,01101100101111000010010010111110011010110010001010,0.86
76,11101100101101000010010010111110011010110010001010,0.86
77,01101100101111000010010010111110011010110010001010,0.86
78,01101100101111000010010010111110011010110010001010,0.86
79,01101100101111000010010010111110011010110010001010,0.86
80,01101100101111000010010010111110011010110010001010,0.86
81,01101100101111000010010010111110011010110010001010,0.86
82,01101100101111000010010010111110011010110010001010,0.86
83,01101100101111000010010010111100011010110010000010,0.86
84,01101100101111000010010010111110011010110010001010,0.86
85,01101100101111000010010010111110011010110010001010,0.86
86,11101100101101000010010010111110011010110010001010,0.86
87,01101100101111000010010010111110011010110010001010,0.86
88,01101100101111000010010010111110011010110010001010,0.86
89,01101100101111000010010010111110011010110010001010,0.86
90,01101100101111000010010010111110011010110010001010,0.86
91,01101100101111000010010010111110011010110010001010,0.86
92,01101100101111000010010010111110011010110010001010,0.86
93,01101100101111000010010010111110011010110010001010,0.86
94,01101100101111000010010010111110011010110010001010,0.86
95,01101100001101000010010010111110011010110010001010,0.86
96,01101100101111000010010010111110011010110010001010,0.86
97,01101100101111000010010010111110011010110010001010,0.86
98,01101100101111000010010010111110011010110010001010,0.86
99,01101101101111000010010010111100001011110010001010,0.86
