index,genome,fitness
0,01101101001111100010010010111110001010110010001010,0.94
1,01101101001111100010010010111110001010110010001010,0.94
2,01101101001111100010010010111110001010110010001010,0.94
3,01101101001111100010010010111110001010110010001010,0.94
4,01101101001111100010010010111110001010110010001010,0.94
5,01101101001111100010010010111110001010110010001010,0.94
6,01101101001111100010010010111110001010110010001010,0.94
7,01101101001111100010010010111110001010110010001010,0.94
8,01101101001111100010010010111110001010110010001010,0.94
9,01101101001111100010010010111110001010110010001010,0.94
10,01101101001111100010010010111110001010110010001010,0.94
11,01101101001111100010010010111110001010110010001010,0.94
12,01101101001111100010010010111110001010110010001010,0.94
13,01101101001111100010010010111110001010110010001010,0.94
14,01101101001111100010010010111110001010110010001010,0.94
15,01101101001111100010010010111110001010110010001010,0.94
16,01101101001111100010010010111110001010110010001010,0.94
17,01101101001111100010010010111110001010110010001010,0.94
18,01101101001111100010010010111110001010110010001010,0.94
19,01101101001111100010010010111110001010110010001010,0.94
20,01101101001111100010010010111110001010110010001010,0.94
21,01101101001111100010010010111110001010110010001010,0.94
22,01101101001111100010010010111110001010110010001010,0.94
23,01101101001111100010010010111110001010110010001010,0.94
24,01101101001111100010010010111110001010110010001010,0.94
25,01101101001111100010010010111110001010110010001010,0.94
26,01101101001111100010010010111110001010110010001010,0.94
27,01101101001111100010010010111110001010110010001010,0.94
28,01101101001111100010010010111110001010110010001010,0.94
29,01101101001111100010010010111110001010110010001010,0.94
30,11101101001111000010010010111110001010110010001010,0.94
31,01101101001111100010010010111110001010110010001010,0.94
32,01101101001111100010010010111110001010110010001010,0.94
33,01101101001111100010010010111110001010110010001010,0.94
34,01101101001111100010010010111110001010110010001010,0.94
35,01101101001111100010010010111110001010110010001010,0.94
36,01101101001111100010010010111110001010110010001010,0.94
37,01101101001111100010010010111110001010110010001010,0.94
38,01101101001111100010010010111110001010110010001010,0.94
39,01101101001111100010010010111110001010110010001010,0.94
40,01101101001111100010010010111110001010110010001010,0.94
41,01101101001111100010010010111110001010110010001010,0.94
42,01101101001111100010010010111110001010110010001010,0.94
43,01101101001111100010010010111110001010110010001010,0.94
44,01101101001111100010010010111110001010110010001010,0.94
45,01101101001111100010010010111110001010110010001010,0.94
46,01101101001111100010010010111110001010110010001010,0.94
47,01101101001111100010010010111110001010110010001010,0.94
48,01101101001111100010010010111110001010110010001010,0.94
49,11101101101111000010010010111110001010110010001010,0.92
50,01101101001111000010010010111110001010110010001010,0.92
51,11101101101111000010010010111110001010110010001010,0.92
52,01101101001111000010010010111110001010110010001010,0.92
53,01101101001111000010010010111110001010110010001010,0.92
54,11101101101111000010010010111110001010110010001010,0.92
55,01101101001111000010010010111110001010110010001010,0.92
56,01101101001111000010010010111110001010110010001010,0.92
57,01101101001111000010010010111110001010110010001010,0.92
58,01101101001111000010010010111110001010110010001010,0.92
59,01101101001111000010010010111110001010110010001010,0.92
60,01101101001111000010010010111110001010110010001010,0.92
61,01101101001111000010010010111110001010110010001010,0.92
62,11101101101111000010010010111110001010110010001010,0.92
63,01101101001111000010010010111110001010110010001010,0.92
64,01101101001111000010010010111110001010110010001010,0.92
65,01101101001111000010010010111110001010110010001010,0.92
66,01101101001111000010010010111110001010110010001010,0.92
67,11101101101111000010010010111110001010110010001010,0.92
68,01101101001111000010010010111110001010110010001010,0.92
69,01101101001111000010010010111110001010110010001010,0.92
70,01101101001111000010010010111110001010110010001010,0.92
71,01101101001111000010010010111110001010110010001010,0.92
72,11101101101111000010010010111110001010110010001010,0.92
73,11101101101111000010010010111110001010110010001010,0.92
74,01101101001111000010010010111110001010110010001010,0.92
75,01101101001111000010010010111110001010110010001010,0.92
76,11101101101111000010010010111110001010110010001010,0.92
77,01101101001111000010010010111110001010110010001010,0.92
78,01101101001111000010010010111110001010110010001010,0.92
79,01101101001111000010010010111110001010110010001010,0.92
80,01101101001111000010010010111110001010110010001010,0.92
81,01101101001111000010010010111110001010110010001010,0.92
82,11101101101111000010010010111110001010110010001010,0.92
83,01101101001111000010010010111110001010110010001010,0.92
84,01101101001111000010010010111110001010110010001010,0.92
85,01101101001111000010010010111110001010110010001010,0.92
86,11101101101111000010010010111110001010110010001010,0.92
87,01101101001111000010010010111110001010110010001010,0.92
88,01101101001111000010010010111110001010110010001010,0.92
89,01101101001111000010010010111110001010110010001010,0.92
90,01101101001111000010010010111110001010110010001010,0.92
91,01101101001111000010010010111110001010110010001010,0.92
92,11101101101111000010010010111110001010110010001010,0.92
93,01101101001111000010010010111110001010110010001010,0.92
94,11101101101111000010010010111110001010110010001010,0.92
95,01101101001111000010010010111110001010110010001010,0.92
96,01101101001111000010010010111110001010110010001010,0.92
97,11101101101111000010010010111110001010110010001010,0.92
98,01101101001111000010010010111110001010110010001010,0.92
99,01101101001111000010010010111110001010110010001010,0.92
