index,genome,fitness
0,1011110000100101110011101111111100010110,0.825
1,1011110001100101110011101111111100010110,0.8
2,1011110001100101110011101111111100010110,0.8
3,1011110001100101110011101111111100010110,0.8
4,1011110001100101110011101111111100010110,0.8
5,1011110001100101110011101111111100010110,0.8
6,1011110001100101110011101111111100010110,0.8
7,1011110001100101110000101011110010001111,0.775
8,0011110100101111111111101111111100010110,0.775
9,0011110100101111111111101111111100010110,0.775
10,1100001101010101011110010001011111100100,0.775
11,1011110001100101110000101011110010001111,0.775
12,1100001111010101011110010001011011100100,0.775
13,1011110001100101110000101011110010001111,0.775
14,1011110001100101110000101011110010001111,0.775
15,0011110100101111111111101111111100010110,0.775
16,1100110000100000111011101111111100010110,0.775
17,1011110001100101110000101011110010001111,0.775
18,1011110001100101110000101011110010001111,0.775
19,1100001101001101001010101011011111101110,0.775
20,1100001101001101001010010001011111100100,0.775
21,1100001101001101001010101011011111101110,0.775
22,1100001101010101011110010001011111100100,0.775
23,1100001101010101011110010001011111100100,0.775
24,1100001101001100001010101011011111001110,0.775
25,1011110001100101110000101011110010001111,0.775
26,1100001101001101001010101011011111101110,0.775
27,1100001101010101011110010001011111100100,0.775
28,1011110001100101110000101011110010001111,0.775
29,1011110001100101110000101011110010001111,0.775
30,1100001101010101011110010001011111100100,0.775
31,1100001101010101011110010001011111100100,0.775
32,1100001101001101001010010001011111100100,0.775
33,1001111000001100001111101111111100010110,0.75
34,1100001101001101001010101011110101110000,0.75
35,1100110000100000111000101011110010001111,0.75
36,1100001101010101011110101011011111001110,0.75
37,1100001101001101001010101011011111001110,0.75
38,1100001101010101011110101011011111001110,0.75
39,0101001111001100101010010001011111100100,0.75
40,1100001101001101001010101011011111001110,0.75
41,1100001101010101011110101011011111001110,0.75
42,1100001101010101011110010001011011100100,0.75
43,1100001101010101011110101011011111001110,0.75
44,1001111000001100001111101111111100010110,0.75
45,1100001101001101001010101011110101110000,0.75
46,1100001101010101011110101011011111001110,0.75
47,0011110100101111111100101011110010001111,0.75
48,1100001101010101011110101011011111001110,0.75
49,1100001101010101011110101011011111001110,0.75
50,1100001101010101011110101011011111001110,0.75
51,1100001101010101011110101011011111001110,0.75
52,1100001101001101001010010001011011100100,0.75
53,1011010011101000011111101111111100010110,0.75
54,1100001101001101001010101011011111001110,0.75
55,1100001101010101011110101011011111001110,0.75
56,1100001101010101011110101011110101110000,0.75
57,1100001101001101001010010001011011100100,0.75
58,1100001101010101011110101011110101110000,0.75
59,1100001101010101011110101011011111001110,0.75
60,1100001101001101001010101011110101110000,0.75
61,1100001101010101011110101011011111001110,0.75
62,1011010011101000001101111101011101001100,0.75
63,1100001101010101011110101011011111001110,0.75
64,1100001101010101011110101011011111001110,0.75
65,1100001101010101011110101011011111001110,0.75
66,1100001101010101011110101011110101110000,0.75
67,1100001101010101011110101011011111001110,0.75
68,1001111000001100001111101111111100010110,0.75
69,1011010011101000001101111101011101001100,0.75
70,0011111110100010000101111101011101001100,0.75
71,1100001101001101001010010001011011100100,0.75
72,1100001101010101011110101011110101110000,0.75
73,1100001101010101011110010001011011100100,0.75
74,1100001101001101001010101011011111001110,0.75
75,1011010011101000011111101111111100010110,0.75
76,0101001111011100101010101011011111001110,0.75
77,1100001101010101011110101011011111001110,0.75
78,1100001101010101011110101011011111001110,0.75
79,1100001101010101011110101011011111001110,0.75
80,0011110100101111111100101011110010001111,0.75
81,1100001101010101011110101011011111001110,0.75
82,1100001101010101011110101011011111001110,0.75
83,1100001101010101011110101011011111001110,0.75
84,1100001101010101011110101011011111001110,0.75
85,1100001101010101011110101011110101110000,0.75
86,1100001101010101011110101011011111001110,0.75
87,1100001101010101011110101011011111001110,0.75
88,1100001101010101011110101011011111001110,0.75
89,1100001101010101011110101011110101110000,0.75
90,1100001101001101001010010001011011100100,0.75
91,1100001101001101001010101011110101110000,0.75
92,0011111110100010000110101011011101001110,0.75
93,1100001101001101001010101011011111001110,0.75
94,1100001101010101011110101011011111001110,0.75
95,1100001101010101011110101011011111001110,0.75
96,1100001101001101001010101011011111001110,0.75
97,1100001101010101011110101011011111001110,0.75
98,1100001101010101011110101011011111001110,0.75
99,1100001101010101011110101011011111001110,0.75
