index,genome,fitness
0,1011110001100101110011101111111100010110,0.8
1,1011110001100101110000101011110010001111,0.775
2,1001111000001100001111101111111100010110,0.75
3,1100001101001101001010101011110101110000,0.75
4,1100001101001101001001010010011011110010,0.725
5,1011010011101000001101010011001111000111,0.725
6,0101001111001100101010010001011011100100,0.725
7,0101001111001100101010101011011111001110,0.725
8,0011110100101111101100101011110010001111,0.725
9,0011111110100010000100111000011100001011,0.725
10,1110111100101110110000101011110010001111,0.725
11,0001111010001000000001010011001111000111,0.725
12,0000110000101100100011110110011010010100,0.7
13,1100001101010101011101001111011101100111,0.7
14,1001111000001100001101010011001111000111,0.7
15,0011101110101100000001100001011101011011,0.7
16,1100010010000100101010010001011011100100,0.7
17,1011010011101000001101111011001100111010,0.7
18,0000011111011100000110010001011011100100,0.7
19,1011010011101000001101010010011011110010,0.7
20,1101101110010011001010010001011011100100,0.7
21,1001111000001100001110101011011111001110,0.7
22,0001111010001000000011100000111111010110,0.7
23,1001111000001100001110101011011111001110,0.7
24,1001111000001100001101000110011110101100,0.675
25,0000011111011100000100101001011101101010,0.675
26,0101111011111110111000101011110010001111,0.675
27,1011110001100101110011100110010011001011,0.675
28,0001111010001000000010011010010101010100,0.675
29,0001111010001000000011111110000111101100,0.675
30,1100110000100000111001111011100000110001,0.675
31,0011101010001001100010101011011111001110,0.675
32,0001001101010010011010101011011111001110,0.675
33,1110111100101110110001001110101011110111,0.675
34,1100001101010101011110111011001110101100,0.675
35,1001111000001100001101001110101011110111,0.675
36,0001111010001000000001001111011101100111,0.675
37,0001001101010010011010101011011111001110,0.675
38,0011101110101100000111101111111100010110,0.675
39,1011010011101000001111111110000010000110,0.675
40,1011110001100101110010100011000010001010,0.675
41,0011011011101111001111010000011001011011,0.675
42,0011101010001001100001010011001111000111,0.675
43,0011110100101111111101111011100000110001,0.675
44,1111010000110000011111111110000010000110,0.675
45,0011110100101111111101001101000001000010,0.675
46,1101110111001101101011011111011010010100,0.65
47,1111010000110000011101111101011101001100,0.65
48,0101001111001100101011100100111011001011,0.65
49,0000110100111000011000101110010011000000,0.65
50,0011000101001000000101111101011101001100,0.65
51,0011110100101111111111101101111001101010,0.65
52,0000110110111011101010101011011111001110,0.65
53,0101000101010101011011101101111001101010,0.65
54,1100110000100000111010101011011111001110,0.65
55,0011110100101111111110100011000010001010,0.65
56,1000010100011001001010010001011011100100,0.65
57,0001001101010010011001010010011011110010,0.65
58,1100001101010101011110110001010011111111,0.65
59,1100110000100000111001001111011101100111,0.65
60,1110111100101100110010101011011111001110,0.65
61,1011010011101000001100101110010011000000,0.65
62,0000011111011100000111000001010111000101,0.65
63,0001001101010010011000101001011101101010,0.65
64,0111011010001010100111111001111111011110,0.65
65,0011110100101111111110101011011111001110,0.65
66,0001110010011100011101010010011011110010,0.65
67,0011110100101111111110101011011111001110,0.65
68,0000110100111000011000101110010011000000,0.65
69,1100110000100000111010101011110101110000,0.65
70,0001111010001000000000101011110010001111,0.65
71,0001001101010010011011000001010111000101,0.625
72,1001001000101000001001011011010111011000,0.625
73,0011011011101111001111100010110010101111,0.625
74,1100001001111100110111100000111111010110,0.625
75,1111111100101000000101101100011010000011,0.625
76,0101000101010101011000111101100111100011,0.625
77,0010100010110110101011010000011001011011,0.625
78,1100001101001101001000111101110101101111,0.625
79,1001111000001100001110001110011100101111,0.625
80,1100110000100000111001000110000111000101,0.625
81,0111011011100110110100101011110010001111,0.625
82,0001001101010010011011101101111001101010,0.625
83,1000011011000000111001100001011101011011,0.625
84,0011110100101111111100111101110101101111,0.625
85,0010101101101001100000101011110010001111,0.625
86,0011101110101100000110110001010011111111,0.625
87,1011010011101000001110100011000010001010,0.625
88,0011110100101111111101000110000111000101,0.625
89,0001111010001000000011011111011010010100,0.625
90,1001001000101000001010101011110101110000,0.625
91,0001000000010100101000101110010011000000,0.625
92,0001000000010100101001010010011011110010,0.625
93,1100001101001101001001001101000001000010,0.625
94,1000101001100000001111100010110010101111,0.625
95,0001110010011100011111000111111000011011,0.625
96,1001011101110111011110101011110101110000,0.625
97,1011010111110100001111111110000010000110,0.625
98,0101111011111110111001011000110000010111,0.625
99,0011110100101111111101011101000110101010,0.625
