index,genome,fitness
0,1011110001100101110011101111111100010110,0.8
1,1011110001100101110000101011110010001111,0.775
2,1100001101001101001001010010011011110010,0.725
3,1011010011101000001101010011001111000111,0.725
4,0101001111001100101010010001011011100100,0.725
5,0101001111001100101010101011011111001110,0.725
6,0000110000101100100011110110011010010100,0.7
7,1100001101010101011101001111011101100111,0.7
8,1001111000001100001101010011001111000111,0.7
9,0011101110101100000001100001011101011011,0.7
10,1100010010000100101010010001011011100100,0.7
11,1011010011101000001101111011001100111010,0.7
12,0000011111011100000110010001011011100100,0.7
13,1001111000001100001101000110011110101100,0.675
14,0000011111011100000100101001011101101010,0.675
15,0101111011111110111000101011110010001111,0.675
16,1011110001100101110011100110010011001011,0.675
17,0001111010001000000010011010010101010100,0.675
18,0001111010001000000011111110000111101100,0.675
19,1100110000100000111001111011100000110001,0.675
20,0011101010001001100010101011011111001110,0.675
21,0001001101010010011010101011011111001110,0.675
22,1110111100101110110001001110101011110111,0.675
23,1100001101010101011110111011001110101100,0.675
24,1001111000001100001101001110101011110111,0.675
25,1101110111001101101011011111011010010100,0.65
26,1111010000110000011101111101011101001100,0.65
27,0101001111001100101011100100111011001011,0.65
28,0000110100111000011000101110010011000000,0.65
29,0011000101001000000101111101011101001100,0.65
30,0011110100101111111111101101111001101010,0.65
31,0000110110111011101010101011011111001110,0.65
32,0101000101010101011011101101111001101010,0.65
33,1100110000100000111010101011011111001110,0.65
34,0011110100101111111110100011000010001010,0.65
35,1000010100011001001010010001011011100100,0.65
36,0001001101010010011001010010011011110010,0.65
37,0001001101010010011011000001010111000101,0.625
38,1001001000101000001001011011010111011000,0.625
39,0011011011101111001111100010110010101111,0.625
40,1100001001111100110111100000111111010110,0.625
41,1111111100101000000101101100011010000011,0.625
42,0101000101010101011000111101100111100011,0.625
43,0010100010110110101011010000011001011011,0.625
44,1100001101001101001000111101110101101111,0.625
45,1001111000001100001110001110011100101111,0.625
46,1100110000100000111001000110000111000101,0.625
47,0111011011100110110100101011110010001111,0.625
48,0001001101010010011011101101111001101010,0.625
49,1000011011000000111001100001011101011011,0.625
50,0011110100101111111100111101110101101111,0.625
51,0010101101101001100000101011110010001111,0.625
52,0011101110101100000110110001010011111111,0.625
53,1011010011101000001110100011000010001010,0.625
54,0011110100101111111101000110000111000101,0.625
55,0001111010001000000011011111011010010100,0.625
56,1001001000101000001010101011110101110000,0.625
57,0001000000010100101000101110010011000000,0.625
58,0001000000010100101001010010011011110010,0.625
59,1100001101001101001001001101000001000010,0.625
60,1000101001100000001111100010110010101111,0.625
61,0001110010011100011111000111111000011011,0.625
62,1001011101110111011110101011110101110000,0.625
63,1011010111110100001111111110000010000110,0.625
64,0101111011111110111001011000110000010111,0.625
65,0011110100101111111101011101000110101010,0.625
66,0011111110100010000111101101111001101010,0.625
67,0101001111001100101000101110010011000000,0.625
68,0011110100101011111110100011000010001010,0.625
69,1111010000110000011100111000011100001011,0.625
70,1100111110101011111001010011001111000111,0.625
71,0100010100100100010110101011110101110000,0.6
72,1001000011111101101000000001110001111000,0.6
73,1100110000100000111010110001010011111111,0.6
74,0011111110100010000101011101000110101010,0.6
75,0001100001010101111001001101000001000010,0.6
76,1100010010000100101011111101110011011001,0.6
77,1000101001100000001111111000011100110001,0.6
78,1000110010010010111001100001011101011011,0.6
79,0111011010001010100111001000110000001110,0.6
80,0011110100101111111100100110001001110101,0.6
81,1110111100101110110010111100100101000110,0.6
82,1011000101000111011001001110101011110111,0.6
83,1000011111000000111000010100011101110001,0.6
84,1100111110101011111001000110011110101100,0.6
85,0000010000111100011011111110000111101100,0.6
86,0011101010001001100011011010110101110100,0.6
87,0101111011111110111010010001011011100100,0.6
88,0001110010011100011111011010110101110100,0.6
89,1000101001100000001110011111110110000100,0.6
90,1101000111100110010000101001111001111011,0.6
91,1101101010010011001000001000000111100100,0.6
92,0000011111011100000100010100011101110001,0.6
93,0001001101010010011011111001111111011110,0.6
94,1100110000100000111000000001110001111000,0.6
95,0011110100101111111111110100000110101110,0.6
96,0000110110111011101010011010010101010100,0.6
97,0011110100101111111111110100000110101110,0.6
98,0001001101010010011001000110011110101100,0.6
99,0001000000010100101011100010110010101111,0.6
