epoch,bestFitness,averageFitness,minFitness
0,0.7,0.5556000000000002,0.42
1,0.7,0.6050000000000006,0.56
2,0.72,0.6308,0.6
3,0.76,0.6569999999999997,0.62
4,0.76,0.6733999999999988,0.64
5,0.76,0.6905999999999993,0.66
6,0.78,0.7050000000000012,0.68
7,0.78,0.7170000000000007,0.7
8,0.78,0.7305999999999991,0.7
9,0.78,0.7371999999999997,0.72
10,0.78,0.7458000000000005,0.72
11,0.78,0.7496000000000004,0.74
12,0.78,0.7549999999999996,0.74
13,0.78,0.7619999999999996,0.74
14,0.78,0.7666000000000003,0.76
15,0.78,0.7740000000000012,0.76
16,0.8,0.7802000000000008,0.78
17,0.8,0.7806000000000008,0.78
18,0.8,0.7812000000000008,0.78
19,0.8,0.7826000000000007,0.78
20,0.8,0.7852000000000008,0.78
21,0.82,0.7902000000000006,0.78
22,0.82,0.7989999999999989,0.78
23,0.82,0.8019999999999985,0.8
24,0.82,0.8047999999999985,0.8
25,0.84,0.8091999999999985,0.8
26,0.84,0.8177999999999993,0.8
27,0.84,0.8245999999999987,0.82
28,0.84,0.8333999999999994,0.82
29,0.84,0.840000000000002,0.84
30,0.86,0.840400000000002,0.84
31,0.86,0.840600000000002,0.84
32,0.86,0.8418000000000021,0.84
33,0.86,0.843600000000002,0.84
34,0.86,0.8484000000000017,0.84
35,0.88,0.8568000000000002,0.84
36,0.88,0.8627999999999996,0.86
37,0.88,0.8669999999999995,0.86
38,0.88,0.8750000000000006,0.86
39,0.9,0.8801999999999995,0.88
40,0.9,0.8805999999999996,0.88
41,0.9,0.8809999999999996,0.88
42,0.9,0.8821999999999995,0.88
43,0.9,0.8849999999999996,0.88
44,0.92,0.8907999999999987,0.88
45,0.92,0.9004000000000009,0.9
46,0.92,0.9006000000000008,0.9
47,0.92,0.901400000000001,0.9
48,0.92,0.9034000000000009,0.9
49,0.94,0.9066000000000014,0.9
50,0.94,0.9134000000000024,0.9
51,0.94,0.9240000000000014,0.92
52,0.94,0.9316000000000002,0.92
53,0.94,0.9399999999999987,0.94
54,0.94,0.9399999999999987,0.94
55,0.96,0.9401999999999987,0.94
