varyParam,varyValue,runIndex,seed,epochsCount,elapsedMillis,thresholdReached,bestFitness,runFolder
n,40,1,42,49,23,true,0.95,n_40_run_01
n,50,1,1042,55,10,true,0.96,n_50_run_01
